Language,ISO 639-3 Code,Type
"<a href=""https://en.wikipedia.org/wiki/Bassa_language"" target=""_blank"">Bassa</a>",bsq,Living
"<a href=""https://en.wikipedia.org/wiki/Basa-Kontagora_language"" target=""_blank"">Bassa-Kontagora</a>",bsr,Living
"<a href=""https://en.wikipedia.org/wiki/Bassari_language"" target=""_blank"">Bassari</a>",bsc,Living
"<a href=""https://en.wikipedia.org/wiki/Manenguba_language"" target=""_blank"">Bassossi</a>",bsi,Living
"<a href=""https://en.wikipedia.org/wiki/Bata_language"" target=""_blank"">Bata</a>",bta,Living
"<a href=""https://en.wikipedia.org/wiki/Ifugao_language"" target=""_blank"">Batad Ifugao</a>",ifb,Living
"<a href=""https://en.wikipedia.org/wiki/Palawan_Batak_language"" target=""_blank"">Batak</a>",bya,Living
"<a href=""https://en.wikipedia.org/wiki/Alas_language"" target=""_blank"">Batak Alas-Kluet</a>",btz,Living
"<a href=""https://en.wikipedia.org/wiki/Batak_Angkola_language"" target=""_blank"">Batak Angkola</a>",akb,Living
"<a href=""https://en.wikipedia.org/wiki/Batak_Dairi_language"" target=""_blank"">Batak Dairi</a>",btd,Living
"<a href=""https://en.wikipedia.org/wiki/Batak_Karo_language"" target=""_blank"">Batak Karo</a>",btx,Living
"<a href=""https://en.wikipedia.org/wiki/Mandailing_language"" target=""_blank"">Batak Mandailing</a>",btm,Living
"<a href=""https://en.wikipedia.org/wiki/Batak_Simalungun_language"" target=""_blank"">Batak Simalungun</a>",bts,Living
"<a href=""https://en.wikipedia.org/wiki/Toba_Batak_language"" target=""_blank"">Batak Toba</a>",bbc,Living
"<a href=""https://en.wikipedia.org/wiki/Noho_language"" target=""_blank"">Batanga</a>",bnm,Living
"<a href=""https://en.wikipedia.org/wiki/Batek_language"" target=""_blank"">Batek</a>",btq,Living
"<a href=""https://en.wikipedia.org/wiki/Bateri_language"" target=""_blank"">Bateri</a>",btv,Living
"<a href=""https://en.wikipedia.org/wiki/Bathari_language"" target=""_blank"">Bathari</a>",bhm,Living
"<a href=""https://en.wikipedia.org/wiki/Bati_language_(Cameroon)"" target=""_blank"">Bati (Cameroon)</a>",btc,Living
"<a href=""https://en.wikipedia.org/wiki/Bati_language_(Indonesia)"" target=""_blank"">Bati (Indonesia)</a>",bvt,Living
"<a href=""https://en.wikipedia.org/wiki/Bats_language"" target=""_blank"">Bats</a>",bbl,Living
"<a href=""https://en.wikipedia.org/wiki/Batu_language"" target=""_blank"">Batu</a>",btu,Living
"<a href=""https://en.wikipedia.org/wiki/Batui_language"" target=""_blank"">Batui</a>",zbt,Living
"<a href=""https://en.wikipedia.org/wiki/Batuley_language"" target=""_blank"">Batuley</a>",bay,Living
"<a href=""https://en.wikipedia.org/wiki/Gabi-Gabi_language"" target=""_blank"">Batyala</a>",xby,Living
"<a href=""https://en.wikipedia.org/wiki/Bau_language_(New_Guinea)"" target=""_blank"">Bau</a>",bbd,Living
"<a href=""https://en.wikipedia.org/wiki/Jagoi_language"" target=""_blank"">Bau Bidayuh</a>",sne,Living
"<a href=""https://en.wikipedia.org/wiki/Bauchi_language"" target=""_blank"">Bauchi</a>",bsf,Living
"<a href=""https://en.wikipedia.org/wiki/Baure_language"" target=""_blank"">Baure</a>",brg,Living
"<a href=""https://en.wikipedia.org/wiki/Bauria_language"" target=""_blank"">Bauria</a>",bge,Living
"<a href=""https://en.wikipedia.org/wiki/Bauwaki_language"" target=""_blank"">Bauwaki</a>",bwk,Living
"<a href=""https://en.wikipedia.org/wiki/Bauzi_language"" target=""_blank"">Bauzi</a>",bvz,Living
"<a href=""https://en.wikipedia.org/wiki/Bavarian_language"" target=""_blank"">Bavarian</a>",bar,Living
"<a href=""https://en.wikipedia.org/wiki/Bawm_language"" target=""_blank"">Bawm Chin</a>",bgr,Living
"<a href=""https://en.wikipedia.org/wiki/Bay_Miwok_language"" target=""_blank"">Bay Miwok</a>",mkq,Extinct
"<a href=""https://en.wikipedia.org/wiki/Bayali_language"" target=""_blank"">Bayali</a>",bjy,Extinct
"<a href=""https://en.wikipedia.org/wiki/Baybay_language"" target=""_blank"">Baybayanon</a>",bvy,Living
"<a href=""https://en.wikipedia.org/wiki/Beigo_language"" target=""_blank"">Baygo</a>",byg,Extinct
"<a href=""https://en.wikipedia.org/wiki/Bayono-Awbono_language"" target=""_blank"">Bayono</a>",byl,Living
"<a href=""https://en.wikipedia.org/wiki/Bayot_language"" target=""_blank"">Bayot</a>",bda,Living
"<a href=""https://en.wikipedia.org/wiki/Burduna_language"" target=""_blank"">Bayungu</a>",bxj,Living
"<a href=""https://en.wikipedia.org/wiki/Bazigar_language"" target=""_blank"">Bazigar</a>",bfr,Living
"<a href=""https://en.wikipedia.org/wiki/Beami_language"" target=""_blank"">Beami</a>",beo,Living
"<a href=""https://en.wikipedia.org/wiki/Dane-zaa_language"" target=""_blank"">Beaver</a>",bea,Living
"<a href=""https://en.wikipedia.org/wiki/Beba_language"" target=""_blank"">Beba</a>",bfp,Living
"<a href=""https://en.wikipedia.org/wiki/Bebele_language"" target=""_blank"">Bebele</a>",beb,Living
"<a href=""https://en.wikipedia.org/wiki/Bebeli_language"" target=""_blank"">Bebeli</a>",bek,Living
"<a href=""https://en.wikipedia.org/wiki/Bebil_language"" target=""_blank"">Bebil</a>",bxp,Living
"<a href=""https://en.wikipedia.org/wiki/Doba_language"" target=""_blank"">Bedjond</a>",bjv,Living
"<a href=""https://en.wikipedia.org/wiki/Bedoanas_language"" target=""_blank"">Bedoanas</a>",bed,Living
"<a href=""https://en.wikipedia.org/wiki/Beeke_language"" target=""_blank"">Beeke</a>",bkf,Living
"<a href=""https://en.wikipedia.org/wiki/%C6%81eele_language"" target=""_blank"">Beele</a>",bxq,Living
"<a href=""https://en.wikipedia.org/wiki/Bembe_language_(Kibembe)"" target=""_blank"">Beembe</a>",beq,Living
"<a href=""https://en.wikipedia.org/wiki/Beezen_language"" target=""_blank"">Beezen</a>",bnz,Living
"<a href=""https://en.wikipedia.org/wiki/Menchum_language"" target=""_blank"">Befang</a>",bby,Living
"<a href=""https://en.wikipedia.org/wiki/Beja_language"" target=""_blank"">Beja</a>",bej,Living
"<a href=""https://en.wikipedia.org/wiki/Bakati%E2%80%99_language"" target=""_blank"">Bekati'</a>",bei,Living
"<a href=""https://en.wikipedia.org/wiki/Bekwarra_language"" target=""_blank"">Bekwarra</a>",bkv,Living
"<a href=""https://en.wikipedia.org/wiki/Bekwil_language"" target=""_blank"">Bekwel</a>",bkw,Living
"<a href=""https://en.wikipedia.org/wiki/Belait_language"" target=""_blank"">Belait</a>",beg,Living
"<a href=""https://en.wikipedia.org/wiki/Belanda_Bor_language"" target=""_blank"">Belanda Bor</a>",bxb,Living
"<a href=""https://en.wikipedia.org/wiki/Belanda_Viri_language"" target=""_blank"">Belanda Viri</a>",bvi,Living
"<a href=""https://en.wikipedia.org/wiki/Belarusian_language"" target=""_blank"">Belarusian</a>",bel,Living
"<a href=""https://en.wikipedia.org/wiki/Belhare_language"" target=""_blank"">Belhariya</a>",byw,Living
"<a href=""https://en.wikipedia.org/wiki/Beli_language"" target=""_blank"">Beli (Papua New Guinea)</a>",bey,Living
"<a href=""https://en.wikipedia.org/wiki/Beli_language_(South_Sudan)"" target=""_blank"">Beli (Sudan)</a>",blm,Living
"<a href=""https://en.wikipedia.org/wiki/Belizean_Creole"" target=""_blank"">Belize Kriol English</a>",bzj,Living
"<a href=""https://en.wikipedia.org/wiki/Bella_Coola_language"" target=""_blank"">Bella Coola</a>",blc,Living
"<a href=""https://en.wikipedia.org/wiki/Bellari_language"" target=""_blank"">Bellari</a>",brw,Living
"<a href=""https://en.wikipedia.org/wiki/Bemba_language"" target=""_blank"">Bemba (Zambia)</a>",bem,Living
"<a href=""https://en.wikipedia.org/wiki/Bembe_language_(Ibembe)"" target=""_blank"">Bembe</a>",bmb,Living
"<a href=""https://en.wikipedia.org/wiki/Ben_Tey_Dogon"" target=""_blank"">Ben Tey Dogon</a>",dbt,Living
"<a href=""https://en.wikipedia.org/wiki/Bena_language_(Adamawa)"" target=""_blank"">Bena (Nigeria)</a>",yun,Living
"<a href=""https://en.wikipedia.org/wiki/Bena_language"" target=""_blank"">Bena (Tanzania)</a>",bez,Living
"<a href=""https://en.wikipedia.org/wiki/Benabena_language"" target=""_blank"">Benabena</a>",bef,Living
"<a href=""https://en.wikipedia.org/wiki/Bench_language"" target=""_blank"">Bench</a>",bcq,Living
"<a href=""https://en.wikipedia.org/wiki/Tongwe_language"" target=""_blank"">Bende</a>",bdp,Living
"<a href=""https://en.wikipedia.org/wiki/Bendi_language_(Sudanic)"" target=""_blank"">Bendi</a>",bct,Living
"<a href=""https://en.wikipedia.org/wiki/Beng_language"" target=""_blank"">Beng</a>",nhb,Living
"<a href=""https://en.wikipedia.org/wiki/Benga_language"" target=""_blank"">Benga</a>",bng,Living
"<a href=""https://en.wikipedia.org/wiki/Bengali_language"" target=""_blank"">Bengali</a>",ben,Living
"<a href=""https://en.wikipedia.org/wiki/Benggoi_language"" target=""_blank"">Benggoi</a>",bgy,Living
"<a href=""https://en.wikipedia.org/wiki/Kata_Kolok"" target=""_blank"">Bengkala Sign Language</a>",bqy,Living
"<a href=""https://en.wikipedia.org/wiki/Bentong_language"" target=""_blank"">Bentong</a>",bnu,Living
"<a href=""https://en.wikipedia.org/wiki/Nyadu%E2%80%99_language"" target=""_blank"">Benyadu'</a>",byd,Living
"<a href=""https://en.wikipedia.org/wiki/Beothuk_language"" target=""_blank"">Beothuk</a>",bue,Extinct
"<a href=""https://en.wikipedia.org/wiki/Bepour_language"" target=""_blank"">Bepour</a>",bie,Living
"<a href=""https://en.wikipedia.org/wiki/Bira_language"" target=""_blank"">Bera</a>",brf,Living
"<a href=""https://en.wikipedia.org/wiki/Beraku_language"" target=""_blank"">Berakou</a>",bxv,Living
"<a href=""https://en.wikipedia.org/wiki/Berau_Malay_language"" target=""_blank"">Berau Malay</a>",bve,Living
"<a href=""https://en.wikipedia.org/wiki/Berbice_Creole_Dutch"" target=""_blank"">Berbice Creole Dutch</a>",brc,Extinct
"<a href=""https://en.wikipedia.org/wiki/Berik_language"" target=""_blank"">Berik</a>",bkl,Living
"<a href=""https://en.wikipedia.org/wiki/Berinomo_language"" target=""_blank"">Berinomo</a>",bit,Living
"<a href=""https://en.wikipedia.org/wiki/Berom_language"" target=""_blank"">Berom</a>",bom,Living
"<a href=""https://en.wikipedia.org/wiki/Berta_language"" target=""_blank"">Berta</a>",wti,Living
"<a href=""https://en.wikipedia.org/wiki/Berti_language"" target=""_blank"">Berti</a>",byt,Extinct
"<a href=""https://en.wikipedia.org/wiki/Mah_Meri_language"" target=""_blank"">Besisi</a>",mhe,Living
"<a href=""https://en.wikipedia.org/wiki/Besme_language"" target=""_blank"">Besme</a>",bes,Living
"<a href=""https://en.wikipedia.org/wiki/Badaic_language"" target=""_blank"">Besoa</a>",bep,Living
"<a href=""https://en.wikipedia.org/wiki/Betaf_language"" target=""_blank"">Betaf</a>",bfe,Living
"<a href=""https://en.wikipedia.org/wiki/Betawi_language"" target=""_blank"">Betawi</a>",bew,Living
"<a href=""https://en.wikipedia.org/wiki/Bete_language_(Nigeria)"" target=""_blank"">Bete</a>",byf,Living
"<a href=""https://en.wikipedia.org/wiki/Bendi_language"" target=""_blank"">Bete-Bendi</a>",btt,Living
"<a href=""https://en.wikipedia.org/wiki/Eotile_language"" target=""_blank"">Beti (Côte d'Ivoire)</a>",eot,Living
"<a href=""https://en.wikipedia.org/wiki/Betta_Kurumba_language"" target=""_blank"">Betta Kurumba</a>",xub,Living
"<a href=""https://en.wikipedia.org/wiki/Bezhta_language"" target=""_blank"">Bezhta</a>",kap,Living
"<a href=""https://en.wikipedia.org/wiki/Bhadrawahi_language"" target=""_blank"">Bhadrawahi</a>",bhd,Living
"<a href=""https://en.wikipedia.org/wiki/Bhalay-Gowlan_language"" target=""_blank"">Bhalay</a>",bhx,Living
"<a href=""https://en.wikipedia.org/wiki/Bharia_language"" target=""_blank"">Bharia</a>",bha,Living
"<a href=""https://en.wikipedia.org/wiki/List_of_unclassified_languages_according_to_the_Ethnologue#Asia"" target=""_blank"">Bhatola</a>",btl,Living
"<a href=""https://en.wikipedia.org/wiki/Bhatri_language"" target=""_blank"">Bhatri</a>",bgw,Living
"<a href=""https://en.wikipedia.org/wiki/Mandeali_language"" target=""_blank"">Bhattiyali</a>",bht,Living
"<a href=""https://en.wikipedia.org/wiki/Malvi_language"" target=""_blank"">Bhaya</a>",bhe,Living
"<a href=""https://en.wikipedia.org/wiki/Bhele_language"" target=""_blank"">Bhele</a>",bhy,Living
"<a href=""https://en.wikipedia.org/wiki/Bhilali_language"" target=""_blank"">Bhilali</a>",bhi,Living
"<a href=""https://en.wikipedia.org/wiki/Bhili_language"" target=""_blank"">Bhili</a>",bhb,Living
"<a href=""https://en.wikipedia.org/wiki/Bhojpuri_language"" target=""_blank"">Bhojpuri</a>",bho,Living
"<a href=""https://en.wikipedia.org/wiki/Lahuli%E2%80%93Spiti_language"" target=""_blank"">Bhoti Kinnauri</a>",nes,Living
"<a href=""https://en.wikipedia.org/wiki/Bhujel_language"" target=""_blank"">Bhujel</a>",byh,Living
"<a href=""https://en.wikipedia.org/wiki/Halbi_language"" target=""_blank"">Bhunjia</a>",bhu,Living
"<a href=""https://en.wikipedia.org/wiki/Biafada_language"" target=""_blank"">Biafada</a>",bif,Living
"<a href=""https://en.wikipedia.org/wiki/Mountain_Koiali_language"" target=""_blank"">Biage</a>",bdf,Living
"<a href=""https://en.wikipedia.org/wiki/Biak_language"" target=""_blank"">Biak</a>",bhw,Living
"<a href=""https://en.wikipedia.org/wiki/Berba_language"" target=""_blank"">Biali</a>",beh,Living
"<a href=""https://en.wikipedia.org/wiki/Marind_language"" target=""_blank"">Bian Marind</a>",bpv,Living
"<a href=""https://en.wikipedia.org/wiki/Kunimaipa_language"" target=""_blank"">Biangai</a>",big,Living
"<a href=""https://en.wikipedia.org/wiki/Biao_language"" target=""_blank"">Biao</a>",byk,Living
"<a href=""https://en.wikipedia.org/wiki/Iu_Mien_language"" target=""_blank"">Biao Mon</a>",bmt,Living
"<a href=""https://en.wikipedia.org/wiki/Biao_Min_language"" target=""_blank"">Biao-Jiao Mien</a>",bje,Living
"<a href=""https://en.wikipedia.org/wiki/Biatah_language"" target=""_blank"">Biatah Bidayuh</a>",bth,Living
"<a href=""https://en.wikipedia.org/wiki/Nyungar_language"" target=""_blank"">Bibbulman</a>",xbp,Extinct
"<a href=""https://en.wikipedia.org/wiki/Gunai_language"" target=""_blank"">Bidhawal</a>",ihw,Extinct
"<a href=""https://en.wikipedia.org/wiki/Bidiyo_language"" target=""_blank"">Bidiyo</a>",bid,Living
"<a href=""https://en.wikipedia.org/wiki/Bidjara_language"" target=""_blank"">Bidyara</a>",bym,Living
"<a href=""https://en.wikipedia.org/wiki/Bijago_language"" target=""_blank"">Bidyogo</a>",bjg,Living
"<a href=""https://en.wikipedia.org/wiki/Biem_language"" target=""_blank"">Biem</a>",bmc,Living
"<a href=""https://en.wikipedia.org/wiki/Bierebo_language"" target=""_blank"">Bierebo</a>",bnk,Living
"<a href=""https://en.wikipedia.org/wiki/Bieria_language"" target=""_blank"">Bieria</a>",brj,Living
"<a href=""https://en.wikipedia.org/wiki/Biete_language"" target=""_blank"">Biete</a>",biu,Living
"<a href=""https://en.wikipedia.org/wiki/Big_Nambas_language"" target=""_blank"">Big Nambas</a>",nmb,Living
"<a href=""https://en.wikipedia.org/wiki/Biga_language"" target=""_blank"">Biga</a>",bhc,Living
"<a href=""https://en.wikipedia.org/wiki/Bigambal_language"" target=""_blank"">Bigambal</a>",xbe,Extinct
"<a href=""https://en.wikipedia.org/wiki/Birjia_language"" target=""_blank"">Bijori</a>",bix,Living
"<a href=""https://en.wikipedia.org/wiki/Nete_language"" target=""_blank"">Bikaru</a>",bic,Living
"<a href=""https://en.wikipedia.org/wiki/Bikol_languages"" target=""_blank"">Bikol</a>",bik,Living
"<a href=""https://en.wikipedia.org/wiki/Bikya_language"" target=""_blank"">Bikya</a>",byb,Living
"<a href=""https://en.wikipedia.org/wiki/Bila_language"" target=""_blank"">Bila</a>",bip,Living
"<a href=""https://en.wikipedia.org/wiki/Bilakura_language"" target=""_blank"">Bilakura</a>",bql,Living
"<a href=""https://en.wikipedia.org/wiki/Mandeali_language"" target=""_blank"">Bilaspuri</a>",kfs,Living
"<a href=""https://en.wikipedia.org/wiki/Bilba_language"" target=""_blank"">Bilba</a>",bpz,Living
"<a href=""https://en.wikipedia.org/wiki/Bilibil_language"" target=""_blank"">Bilbil</a>",brz,Living
"<a href=""https://en.wikipedia.org/wiki/Bile_language"" target=""_blank"">Bile</a>",bil,Living
"<a href=""https://en.wikipedia.org/wiki/Bilen_language"" target=""_blank"">Bilin</a>",byn,Living
"<a href=""https://en.wikipedia.org/wiki/Kanuri_language"" target=""_blank"">Bilma Kanuri</a>",bms,Living
"<a href=""https://en.wikipedia.org/wiki/Biloxi_language"" target=""_blank"">Biloxi</a>",bll,Extinct
"<a href=""https://en.wikipedia.org/wiki/Bilua_language"" target=""_blank"">Bilua</a>",blb,Living
"<a href=""https://en.wikipedia.org/wiki/Bilur_language"" target=""_blank"">Bilur</a>",bxf,Living
"<a href=""https://en.wikipedia.org/wiki/Bima_language"" target=""_blank"">Bima</a>",bhp,Living
"<a href=""https://en.wikipedia.org/wiki/Bimin_language"" target=""_blank"">Bimin</a>",bhl,Living
"<a href=""https://en.wikipedia.org/wiki/Moba_language"" target=""_blank"">Bimoba</a>",bim,Living
"<a href=""https://en.wikipedia.org/wiki/Bina_language"" target=""_blank"">Bina (Nigeria)</a>",byj,Living
"<a href=""https://en.wikipedia.org/wiki/Bina_language_(Papua_New_Guinea)"" target=""_blank"">Bina (Papua New Guinea)</a>",bmn,Extinct
"<a href=""https://en.wikipedia.org/wiki/Binahari_language"" target=""_blank"">Binahari</a>",bxz,Living
"<a href=""https://en.wikipedia.org/wiki/Binandere_language"" target=""_blank"">Binandere</a>",bhg,Living
"<a href=""https://en.wikipedia.org/wiki/Bindal_language"" target=""_blank"">Bindal</a>",xbd,Extinct
"<a href=""https://en.wikipedia.org/wiki/Bine_language"" target=""_blank"">Bine</a>",bon,Living
"<a href=""https://en.wikipedia.org/wiki/Edo_language"" target=""_blank"">Bini</a>",bin,Living
"<a href=""https://en.wikipedia.org/wiki/Binji_language"" target=""_blank"">Binji</a>",bpj,Living
"<a href=""https://en.wikipedia.org/wiki/Itneg_language"" target=""_blank"">Binongan Itneg</a>",itb,Living
"<a href=""https://en.wikipedia.org/wiki/Bintauna_language"" target=""_blank"">Bintauna</a>",bne,Living
"<a href=""https://en.wikipedia.org/wiki/Bintulu_language"" target=""_blank"">Bintulu</a>",bny,Living
"<a href=""https://en.wikipedia.org/wiki/Binukid_language"" target=""_blank"">Binukid</a>",bkd,Living
"<a href=""https://en.wikipedia.org/wiki/Binumarien_language"" target=""_blank"">Binumarien</a>",bjr,Living
"<a href=""https://en.wikipedia.org/wiki/Bipi_language"" target=""_blank"">Bipi</a>",biq,Living
"<a href=""https://en.wikipedia.org/wiki/Ongota_language"" target=""_blank"">Birale</a>",bxe,Living
"<a href=""https://en.wikipedia.org/wiki/Birao_language"" target=""_blank"">Birao</a>",brr,Living
"<a href=""https://en.wikipedia.org/wiki/Birgit_language"" target=""_blank"">Birgit</a>",btf,Living
"<a href=""https://en.wikipedia.org/wiki/Birhor_language"" target=""_blank"">Birhor</a>",biy,Living
"<a href=""https://en.wikipedia.org/wiki/Biri_language"" target=""_blank"">Biri</a>",bzr,Extinct
"<a href=""https://en.wikipedia.org/wiki/Biritai_language"" target=""_blank"">Biritai</a>",bqq,Living
"<a href=""https://en.wikipedia.org/wiki/Birgid_language"" target=""_blank"">Birked</a>",brk,Extinct
"<a href=""https://en.wikipedia.org/wiki/Birri_language"" target=""_blank"">Birri</a>",bvq,Living
"<a href=""https://en.wikipedia.org/wiki/Worimi_language"" target=""_blank"">Birrpayi</a>",xbj,Extinct
"<a href=""https://en.wikipedia.org/wiki/Northern_Sotho_language#Other_varieties_of_Northern_Sotho"" target=""_blank"">Birwa</a>",brl,Living
"<a href=""https://en.wikipedia.org/wiki/Biseni_language"" target=""_blank"">Biseni</a>",ije,Living
"<a href=""https://en.wikipedia.org/wiki/Bishnupriya_Manipuri_language"" target=""_blank"">Bishnupriya</a>",bpy,Living
"<a href=""https://en.wikipedia.org/wiki/Bishuo_language"" target=""_blank"">Bishuo</a>",bwh,Living
"<a href=""https://en.wikipedia.org/wiki/Bisis_language"" target=""_blank"">Bisis</a>",bnw,Living
"<a href=""https://en.wikipedia.org/wiki/Bislama"" target=""_blank"">Bislama</a>",bis,Living
"<a href=""https://en.wikipedia.org/wiki/Nete_language"" target=""_blank"">Bisorio</a>",bir,Living
"<a href=""https://en.wikipedia.org/wiki/Bissa_language"" target=""_blank"">Bissa</a>",bib,Living
"<a href=""https://en.wikipedia.org/wiki/Bisu_language"" target=""_blank"">Bisu</a>",bzi,Living
"<a href=""https://en.wikipedia.org/wiki/Bit_language"" target=""_blank"">Bit</a>",bgk,Living
"<a href=""https://en.wikipedia.org/wiki/Bitare_language"" target=""_blank"">Bitare</a>",brt,Living
"<a href=""https://en.wikipedia.org/wiki/Bitur_language"" target=""_blank"">Bitur</a>",mcc,Living
"<a href=""https://en.wikipedia.org/wiki/Biwat_language"" target=""_blank"">Biwat</a>",bwm,Living
"<a href=""https://en.wikipedia.org/wiki/Piyo_language"" target=""_blank"">Biyo</a>",byo,Living
"<a href=""https://en.wikipedia.org/wiki/Biyom_language"" target=""_blank"">Biyom</a>",bpm,Living
"<a href=""https://en.wikipedia.org/wiki/Blablanga_language"" target=""_blank"">Blablanga</a>",blp,Living
"<a href=""https://en.wikipedia.org/wiki/Blafe_language"" target=""_blank"">Blafe</a>",bfh,Living
"<a href=""https://en.wikipedia.org/wiki/Blagar_language"" target=""_blank"">Blagar</a>",beu,Living
"<a href=""https://en.wikipedia.org/wiki/Blang_language"" target=""_blank"">Blang</a>",blr,Living
"<a href=""https://en.wikipedia.org/wiki/Blissymbols"" target=""_blank"">Blissymbols</a>",zbl,Constructed
"<a href=""https://en.wikipedia.org/wiki/Maleng_language"" target=""_blank"">Bo (Laos)</a>",bgl,Living
"<a href=""https://en.wikipedia.org/wiki/Bo_language_(New_Guinea)"" target=""_blank"">Bo (Papua New Guinea)</a>",bpw,Living
"<a href=""https://en.wikipedia.org/wiki/Boano_language_(Maluku)"" target=""_blank"">Boano (Maluku)</a>",bzn,Living
"<a href=""https://en.wikipedia.org/wiki/Boano_language_(Sulawesi)"" target=""_blank"">Boano (Sulawesi)</a>",bzl,Living
"<a href=""https://en.wikipedia.org/wiki/Bobongko_language"" target=""_blank"">Bobongko</a>",bgb,Living
"<a href=""https://en.wikipedia.org/wiki/Bobot_language"" target=""_blank"">Bobot</a>",bty,Living
"<a href=""https://en.wikipedia.org/wiki/Bodo_language_(Bantu)"" target=""_blank"">Bodo (Central African Republic)</a>",boy,Living
"<a href=""https://en.wikipedia.org/wiki/Bodo_language"" target=""_blank"">Bodo (India)</a>",brx,Living
"<a href=""https://en.wikipedia.org/wiki/Gutob_language"" target=""_blank"">Bodo Gadaba</a>",gbj,Living
"<a href=""https://en.wikipedia.org/wiki/Bodo_Parja_language"" target=""_blank"">Bodo Parja</a>",bdv,Living
"<a href=""https://en.wikipedia.org/wiki/Bofi_language"" target=""_blank"">Bofi</a>",bff,Living
"<a href=""https://en.wikipedia.org/wiki/Boga_language"" target=""_blank"">Boga</a>",bvw,Living
"<a href=""https://en.wikipedia.org/wiki/Pogaya_language"" target=""_blank"">Bogaya</a>",boq,Living
"<a href=""https://en.wikipedia.org/wiki/Boghom_language"" target=""_blank"">Boghom</a>",bux,Living
"<a href=""https://en.wikipedia.org/wiki/Guru_language"" target=""_blank"">Boguru</a>",bqu,Living
"<a href=""https://en.wikipedia.org/wiki/Bohtan_Neo-Aramaic"" target=""_blank"">Bohtan Neo-Aramaic</a>",bhn,Living
"<a href=""https://en.wikipedia.org/wiki/Boiken_language"" target=""_blank"">Boikin</a>",bzf,Living
"<a href=""https://en.wikipedia.org/wiki/Muji_language"" target=""_blank"">Bokha</a>",ybk,Living
"<a href=""https://en.wikipedia.org/wiki/Boko_language"" target=""_blank"">Boko (Benin)</a>",bqc,Living
"<a href=""https://en.wikipedia.org/wiki/Bala_language"" target=""_blank"">Boko (Democratic Republic of Congo)</a>",bkp,Living
"<a href=""https://en.wikipedia.org/wiki/Busa_language_(Mande)"" target=""_blank"">Bokobaru</a>",bus,Living
"<a href=""https://en.wikipedia.org/wiki/Bokoto_language"" target=""_blank"">Bokoto</a>",bdt,Living
"<a href=""https://en.wikipedia.org/wiki/Boki_language"" target=""_blank"">Bokyi</a>",bky,Living
"<a href=""https://en.wikipedia.org/wiki/Bola_language_(Austronesian)"" target=""_blank"">Bola</a>",bnp,Living
"<a href=""https://en.wikipedia.org/wiki/Bolango_language"" target=""_blank"">Bolango</a>",bld,Living
"<a href=""https://en.wikipedia.org/wiki/Bole_language"" target=""_blank"">Bole</a>",bol,Living
"<a href=""https://en.wikipedia.org/wiki/Bulgar_language"" target=""_blank"">Bolgarian</a>",xbo,Extinct
"<a href=""https://en.wikipedia.org/wiki/Bolgo_language"" target=""_blank"">Bolgo</a>",bvo,Living
"<a href=""https://en.wikipedia.org/wiki/Lia-Ntomba_language"" target=""_blank"">Bolia</a>",bli,Living
"<a href=""https://en.wikipedia.org/wiki/Bolinao_language"" target=""_blank"">Bolinao</a>",smk,Living
"<a href=""https://en.wikipedia.org/wiki/Varieties_of_American_Sign_Language#Bolivian_Sign_Language"" target=""_blank"">Bolivian Sign Language</a>",bvl,Living
"<a href=""https://en.wikipedia.org/wiki/Bolo_language"" target=""_blank"">Bolo</a>",blv,Living
"<a href=""https://en.wikipedia.org/wiki/Loki_dialect"" target=""_blank"">Boloki</a>",bkt,Living
"<a href=""https://en.wikipedia.org/wiki/Bolon_language"" target=""_blank"">Bolon</a>",bof,Living
"<a href=""https://en.wikipedia.org/wiki/Londo_language"" target=""_blank"">Bolondo</a>",bzm,Living
"<a href=""https://en.wikipedia.org/wiki/Segai_language"" target=""_blank"">Bolongan</a>",blj,Living
"<a href=""https://en.wikipedia.org/wiki/Bolyu_language"" target=""_blank"">Bolyu</a>",ply,Living
"<a href=""https://en.wikipedia.org/wiki/Bom_language"" target=""_blank"">Bom</a>",bmf,Living
"<a href=""https://en.wikipedia.org/wiki/Boma_language"" target=""_blank"">Boma</a>",boh,Living
"<a href=""https://en.wikipedia.org/wiki/Bomboli_language"" target=""_blank"">Bomboli</a>",bml,Living
"<a href=""https://en.wikipedia.org/wiki/Bomboma_language"" target=""_blank"">Bomboma</a>",bws,Living
"<a href=""https://en.wikipedia.org/wiki/Bomitaba_language"" target=""_blank"">Bomitaba</a>",zmx,Living
"<a href=""https://en.wikipedia.org/wiki/Bomu_language"" target=""_blank"">Bomu</a>",bmq,Living
"<a href=""https://en.wikipedia.org/wiki/Bomwali_language"" target=""_blank"">Bomwali</a>",bmw,Living
"<a href=""https://en.wikipedia.org/wiki/Bon_Gula_language"" target=""_blank"">Bon Gula</a>",glc,Living
"<a href=""https://en.wikipedia.org/wiki/Bonan_language"" target=""_blank"">Bonan</a>",peh,Living
"<a href=""https://en.wikipedia.org/wiki/Bondei_language"" target=""_blank"">Bondei</a>",bou,Living
"<a href=""https://en.wikipedia.org/wiki/Bonda_language"" target=""_blank"">Bondo</a>",bfw,Living
"<a href=""https://en.wikipedia.org/wiki/Kulango_language"" target=""_blank"">Bondoukou Kulango</a>",kzc,Living
