Language,ISO 639-3 Code,Type
"<a href=""https://en.wikipedia.org/wiki/Adnyamathanha_language"" target=""_blank"">Adnyamathanha</a>",adt,Living
"<a href=""https://en.wikipedia.org/wiki/Adonara_language"" target=""_blank"">Adonara</a>",adr,Living
"<a href=""https://en.wikipedia.org/wiki/Aduge_language"" target=""_blank"">Aduge</a>",adu,Living
"<a href=""https://en.wikipedia.org/wiki/Adyghe_language"" target=""_blank"">Adyghe</a>",ady,Living
"<a href=""https://en.wikipedia.org/wiki/Adzera_language"" target=""_blank"">Adzera</a>",adz,Living
"<a href=""https://en.wikipedia.org/wiki/Orokaiva_language"" target=""_blank"">Aeka</a>",aez,Living
"<a href=""https://en.wikipedia.org/wiki/Awin_language"" target=""_blank"">Aekyom</a>",awi,Living
"<a href=""https://en.wikipedia.org/wiki/Aequian_language"" target=""_blank"">Aequian</a>",xae,Ancient
"<a href=""https://en.wikipedia.org/wiki/Aer_language"" target=""_blank"">Aer</a>",aeq,Living
"<a href=""https://en.wikipedia.org/wiki/Afade_language"" target=""_blank"">Afade</a>",aal,Living
"<a href=""https://en.wikipedia.org/wiki/Afar_language"" target=""_blank"">Afar</a>",aar,Living
"<a href=""https://en.wikipedia.org/wiki/Afghan_Sign_Language"" target=""_blank"">Afghan Sign Language</a>",afg,Living
"<a href=""https://en.wikipedia.org/wiki/Afitti_language"" target=""_blank"">Afitti</a>",aft,Living
"<a href=""https://en.wikipedia.org/wiki/Afrihili"" target=""_blank"">Afrihili</a>",afh,Constructed
"<a href=""https://en.wikipedia.org/wiki/Afrikaans"" target=""_blank"">Afrikaans</a>",afr,Living
"<a href=""https://en.wikipedia.org/wiki/Afro-Seminole_Creole"" target=""_blank"">Afro-Seminole Creole</a>",afs,Living
"<a href=""https://en.wikipedia.org/wiki/Agarabi_language"" target=""_blank"">Agarabi</a>",agd,Living
"<a href=""https://en.wikipedia.org/wiki/Agariya_language"" target=""_blank"">Agariya</a>",agi,Living
"<a href=""https://en.wikipedia.org/wiki/Agatu_language"" target=""_blank"">Agatu</a>",agc,Living
"<a href=""https://en.wikipedia.org/wiki/Agavotaguerra_language"" target=""_blank"">Agavotaguerra</a>",avo,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aghem_language"" target=""_blank"">Aghem</a>",agq,Living
"<a href=""https://en.wikipedia.org/wiki/Aghu_language"" target=""_blank"">Aghu</a>",ahh,Living
"<a href=""https://en.wikipedia.org/wiki/Aghul_language"" target=""_blank"">Aghul</a>",agx,Living
"<a href=""https://en.wikipedia.org/wiki/Aghu_Tharrnggala_language"" target=""_blank"">Aghu-Tharnggala</a>",gtu,Extinct
"<a href=""https://en.wikipedia.org/wiki/Caucasian_Albanian_language"" target=""_blank"">Aghwan</a>",xag,Extinct
"<a href=""https://en.wikipedia.org/wiki/Agi_language"" target=""_blank"">Agi</a>",aif,Living
"<a href=""https://en.wikipedia.org/wiki/Agob_language"" target=""_blank"">Agob</a>",kit,Living
"<a href=""https://en.wikipedia.org/wiki/Agoi_language"" target=""_blank"">Agoi</a>",ibm,Living
"<a href=""https://en.wikipedia.org/wiki/Awakatek_language"" target=""_blank"">Aguacateco</a>",agu,Living
"<a href=""https://en.wikipedia.org/wiki/Aguano_language"" target=""_blank"">Aguano</a>",aga,Extinct
"<a href=""https://en.wikipedia.org/wiki/Aguaruna_language"" target=""_blank"">Aguaruna</a>",agr,Living
"<a href=""https://en.wikipedia.org/wiki/Aja_language_(Niger%E2%80%93Congo)"" target=""_blank"">Aguna</a>",aug,Living
"<a href=""https://en.wikipedia.org/wiki/Agusan_language"" target=""_blank"">Agusan Manobo</a>",msm,Living
"<a href=""https://en.wikipedia.org/wiki/Agutaynen_language"" target=""_blank"">Agutaynen</a>",agn,Living
"<a href=""https://en.wikipedia.org/wiki/Gwune_language"" target=""_blank"">Agwagwune</a>",yay,Living
"<a href=""https://en.wikipedia.org/wiki/Ahan_language"" target=""_blank"">Àhàn</a>",ahn,Living
"<a href=""https://en.wikipedia.org/wiki/Ahanta_language"" target=""_blank"">Ahanta</a>",aha,Living
"<a href=""https://en.wikipedia.org/wiki/Thavung_language"" target=""_blank"">Aheu</a>",thm,Living
"<a href=""https://en.wikipedia.org/wiki/Khandeshi_language"" target=""_blank"">Ahirani</a>",ahr,Living
"<a href=""https://en.wikipedia.org/wiki/Ahom_language"" target=""_blank"">Ahom</a>",aho,Extinct
"<a href=""https://en.wikipedia.org/wiki/Ahtna_language"" target=""_blank"">Ahtena</a>",aht,Living
"<a href=""https://en.wikipedia.org/wiki/Ahwai_language"" target=""_blank"">Ahwai</a>",nfd,Living
"<a href=""https://en.wikipedia.org/wiki/Ai-Cham_language"" target=""_blank"">Ai-Cham</a>",aih,Living
"<a href=""https://en.wikipedia.org/wiki/Aigon_language"" target=""_blank"">Aighon</a>",aix,Living
